feature,coefficient,abs_coefficient,variant,intercept,cluster
month_2,-0.35260806277835915,0.35260806277835915,full,-1.17839438255794,NONE
month_1,-0.19576326620142745,0.19576326620142745,full,-1.17839438255794,NONE
log_wait_sec,0.10241773170086567,0.10241773170086567,full,-1.17839438255794,NONE
month_10,-0.06280013547734847,0.06280013547734847,full,-1.17839438255794,NONE
month_11,-0.02438324179457456,0.02438324179457456,full,-1.17839438255794,NONE
ncores,-0.004589080917828522,0.004589080917828522,full,-1.17839438255794,NONE
month_4,0.0,0.0,full,-1.17839438255794,NONE
month_5,0.0,0.0,full,-1.17839438255794,NONE
month_6,4.936391128670028,4.936391128670028,no_timelimit,6.837129409094751,NONE
month_3,-1.751300836730706,1.751300836730706,no_timelimit,6.837129409094751,NONE
month_12,-1.4842148255623338,1.4842148255623338,no_timelimit,6.837129409094751,NONE
month_7,-1.1816191188338796,1.1816191188338796,no_timelimit,6.837129409094751,NONE
month_10,-0.6027920917791243,0.6027920917791243,no_timelimit,6.837129409094751,NONE
month_2,-0.4787034041540783,0.4787034041540783,no_timelimit,6.837129409094751,NONE
month_9,0.4371124751557988,0.4371124751557988,no_timelimit,6.837129409094751,NONE
month_11,0.40569995559694816,0.40569995559694816,no_timelimit,6.837129409094751,NONE
nhosts,0.4054944484334708,0.4054944484334708,no_timelimit,6.837129409094751,NONE
month_8,-0.3358633516905926,0.3358633516905926,no_timelimit,6.837129409094751,NONE
log_wait_sec,0.15216819444313373,0.15216819444313373,no_timelimit,6.837129409094751,NONE
month_1,0.05529006879165908,0.05529006879165908,no_timelimit,6.837129409094751,NONE
ncores,-0.0030702034645558726,0.0030702034645558726,no_timelimit,6.837129409094751,NONE
month_4,0.0,0.0,no_timelimit,6.837129409094751,NONE
month_5,0.0,0.0,no_timelimit,6.837129409094751,NONE
log_timelimit,0.8353622321801385,0.8353622321801385,timelimit_only,-0.9758978234993192,NONE
log_timelimit,0.8175223304177124,0.8175223304177124,no_month,-1.5602963565316443,NONE
nhosts,0.5867931079095848,0.5867931079095848,no_month,-1.5602963565316443,NONE
log_wait_sec,0.1265787283750707,0.1265787283750707,no_month,-1.5602963565316443,NONE
ncores,-0.004459633784593801,0.004459633784593801,no_month,-1.5602963565316443,NONE
