start_year,start_month,source_token,jobs,runtime_mean_sec,runtime_median_sec,runtime_p90_sec,runtime_p99_sec,wait_mean_sec,wait_median_sec,wait_p90_sec,ncores_mean,ncores_p90,peak_memused_mean,peak_memused_p90,peak_memused_p99,cpuuser_mean_of_mean,frac_jobs_with_gpu_samples,frac_jobs_with_mem_samples
2016,3,S,103575,13919.660680666184,532,44108,172812,20803.65128650736,451,61175,177.75177407675596,256.0,8.294783803622288,19.529951240383124,30.346783023603706,64.29504770964385,0.0,1.0
2016,4,C,104395,5170.527640212654,203,9849,85688,25921.84864217635,1368,68529,1.0,1.0,4.36811171309584,6.741164211304687,27.455184941220367,54.21005216494018,0.0,1.0
2016,4,S,91665,15359.30537282496,907,45467,172818,19009.036895216275,1085,54941,240.9216167566683,275.27914110468987,9.66299045912908,22.363440815709204,30.344524453214426,59.7289044402945,0.0,1.0
2016,5,C,973,67030.58273381295,10126,179763,900094,42806.01336073998,824,153127,1.0,1.0,7.96837784387184,14.099341942548655,30.954250161275013,65.19404008496167,0.0,1.0
2016,5,S,104933,12302.56794335433,727,32118,172811,18372.22683998361,325,61487,226.67248625313294,287.2500007645882,10.49221280651327,22.908583841770252,30.36606582544803,52.065600503668215,0.0,1.0
2016,6,C,41680,12705.559428982726,1183,14649,230718,49458.514131477925,2254,131153,1.0,1.0,10.207333997107435,23.3542635012577,31.85992275492907,53.29673499588271,0.0,1.0
2016,6,S,72258,16634.474203548398,878,56734,172817,32955.054319244926,1274,90340,190.1625840737358,256.0,8.60138843396262,19.07124795921088,30.34984843981976,69.23532545724129,0.0,1.0
2016,7,C,86229,4847.795034153243,417,5702,64919,27832.606385322804,2952,45935,1.0,1.0,7.280760675786342,10.903969482666113,28.596507531348824,44.21389029395342,0.0,1.0
2016,7,S,98271,13799.583000071232,320,40863,172817,15658.78997873228,12,55151,147.65536119506262,256.0,7.784967491629288,16.44891933134148,30.33948680157139,70.52605869317708,0.0,1.0
2016,8,C,61507,5918.225681629733,43,6011,95719,17283.067374445185,116,41187,1.0,1.0,6.7237562186211965,10.549236168121293,30.45981041830822,29.359246720905052,0.0,1.0
2016,8,S,73592,19513.71018588977,1669,79172,172818,18936.664868463962,419,51844,157.46950755516903,256.0,9.385853424886994,22.061137917236085,30.387572828413166,71.38176449231372,0.0,1.0
2016,9,C,112629,4169.389668735405,25,5857,50387,20647.833248985607,86,63345,1.0,1.0,4.795644675466344,8.611243989180334,20.2687789085135,35.362062105737245,0.0,1.0
2016,9,S,64137,21728.140917099336,3497,82521,172819,19190.39956655285,665,54450,177.13232611441134,256.0,10.173225422541156,25.19374190285704,30.442418691402686,73.01255441917336,0.0,1.0
2016,10,C,44948,8068.600427160274,522,8394,124795,36221.47325798701,10896,122297,1.0,1.0,5.029965657771441,8.418201596933777,31.858938815193884,31.398657263690747,0.0,1.0
2016,10,S,79320,17491.131278366112,1422,61568,172815,11096.392347453353,48,27935,199.6439737771054,440.29014340057626,8.987968739034468,20.060217361059188,30.352541646184594,71.63833840684227,0.0,1.0
2016,11,C,104257,5858.350729447423,208,9847,75498,18290.211132106237,591,44356,1.0,1.0,4.7713974808172805,9.402400196250625,28.044326599709848,30.93134782143923,0.0,1.0
2016,11,S,66612,19323.71333993875,1521,74308,172819,14637.6940791449,12,37076,147.88278388278388,256.0,8.764539621283273,19.899703454629552,30.353730397022552,68.04710564313054,0.0,1.0
2016,12,C,54395,8629.905211876092,340,8745,145770,23507.892912951556,224,42391,1.0,1.0,4.432736521955581,7.235103370843179,31.782098508710106,28.4375888092438,0.0,0.999981615957349
2016,12,S,75362,14791.057004856559,478,47487,172815,6118.221902284971,6,12841,154.00164539157666,259.28253783729986,8.170732463112353,19.528845571546043,30.40656224699937,68.50421838018603,0.0,1.0
2017,1,C,67401,6259.053782584828,1266,8637,74455,44173.54597112803,1268,33184,1.0,1.0,7.557665612238109,25.701909136835237,31.865206972015685,30.84638540359293,0.0,0.9983234670108752
2017,1,S,83646,15581.463082514407,896,57210,172813,4531.117638619899,5,7541,156.6139205700213,256.1920162115694,8.298636834253047,17.90686860732766,30.403214620604622,73.34263210698045,0.0,1.0
2017,2,C,117052,6440.224609575232,5250,9375,32996,20399.8881522742,7550,48658,1.0,1.0,8.836230048247359,26.489804797385524,31.86529279755331,17.32347574137294,0.0,0.9984793083415918
2017,2,S,70574,17213.051492050898,1790,61484,172815,13441.932652251537,98,37000,152.28792473148752,256.0,8.867476438185701,19.24113670985278,30.353071471806768,70.5637021899804,0.0,1.0
2017,3,C,65232,7783.5031426293845,927,9612,97650,5652.043383615403,753,12802,1.0,1.0,9.126717649582375,31.85480362487732,31.86535066265775,41.68799218606711,0.0,1.0
2017,3,S,37193,16153.761675584115,961,52462,172820,78868.27690694485,556,277222,163.22469281854112,256.0,8.421885676285157,19.080949557993566,30.35056182392134,60.48066977255741,0.0,1.0
2017,4,C,73749,6785.688172043011,1176,9976,87233,21106.01532224166,1127,44778,1.0,1.0,7.3231509265314205,22.987274812074844,31.86380443721928,40.3132568378033,0.0,1.0
2017,4,S,35475,17370.46260747005,1403,60979,172819,73565.8243551797,59,245316,172.8414940098661,256.0,9.043357446532148,21.018004729210464,30.383373199845753,60.92445756830826,0.0,1.0
2017,5,C,132068,6190.555872732229,2619,11037,56411,25408.010403731412,3160,26701,1.0,1.0,4.432901009869571,9.092059851460226,31.28350695536024,63.909819620579206,0.0,1.0
2017,5,S,29756,15599.590569969081,1176,49504,172820,113288.29046242774,51,421749,135.98763274633689,255.45209676700054,8.507002477033712,19.15516819098396,30.345714222080034,66.68660973388153,0.0,1.0
2017,6,C,141842,6409.710847280777,1868,11921,78500,18622.92705263603,1748,26272,1.0,1.0,6.207101469671072,19.884640070750418,31.863358752676305,53.36205874734428,0.0,1.0
2017,6,S,28673,13858.531719736337,1087,43134,172814,115847.04286262338,47,418717,147.8480800753322,235.51988796865044,8.963441605807633,21.692958151292654,30.34699837691293,65.91352973658671,0.0,1.0
2017,7,S,25757,18020.49873820709,2531,70202,172815,39090.53639787242,8,75828,140.0889855184998,255.89440820166098,9.97951618233982,25.32244926056853,31.409250332485694,66.41671875737929,0.0,1.0
2017,8,S,25929,23263.75421342898,3805,82373,172820,18639.940915577154,11,60031,167.4221142350264,296.0221989983021,10.281431289735766,23.479049030600773,30.379858897958233,69.46180742391178,0.0,1.0
2017,9,S,17120,19129.082476635514,3464,57293,172811,49793.81396028037,213,135371,238.60747663551402,453.443244513763,11.099940112849184,24.686568868654685,30.382698888821867,66.64782583960327,0.0,1.0
2017,10,S,14506,12572.427754032815,554,36706,172811,24549.058458568867,3,1623,214.1216048531642,681.463425506402,9.371574475964502,20.964941716186452,30.389721469029656,58.698146823098725,0.0,1.0
